Nome,Cognome,Email,Telefono,Età,score,lavori_nel_calcio,che_ruolo_ricopri,iscrizione_corso,pc_windows_mac,telefono,importo_match_analyst,Calcio,Personale,Tecnologia,Economico
Matteo,Bruno,matteobruno@yahoo.com,+393879908398,32,24,Si,,Voglio informazioni su chi è il match analyst e che lavoro fa,No,Ho un cellulare iphone e pure un tablet o un ipad,97 euro,3,3,4,-8
Valentina,Bruno,valentinabruno@yahoo.com,+393733875176,19,12,Si,,Voglio certificarmi,No,Ho un cellulare iphone,"Non voglio spendere soldi, voglio tutto gratis!!!",4,2,4,-5
Alessandro,Ferrari,alessandroferrari@gmail.com,+393234611628,42,28,Si,,Voglio certificarmi,Si,Ho un cellulare android e pure un tablet o un ipad,47 euro,2,1,5,-2
Francesco,Santoro,francescosantoro@yahoo.com,+393759905071,43,25,Si,,Voglio certificarmi,No,Ho un cellulare android,97 euro,4,1,5,-5
Valentina,Bianchi,valentinabianchi@outlook.com,+393248812139,46,25,Si,,Voglio certificarmi,No,Ho un cellulare iphone,10 euro,2,2,5,1
Francesco,Rossi,francescorossi@gmail.com,+393035068021,37,8,No,,Voglio informazioni su chi è il match analyst e che lavoro fa,No,Ho un cellulare android,"Non voglio spendere soldi, voglio tutto gratis!!!",2,2,5,2
Alessandro,Colombo,alessandrocolombo@gmail.com,+393119251418,60,13,Si,,Voglio informazioni su chi è il match analyst e che lavoro fa,No,Ho un cellulare iphone,"Non voglio spendere soldi, voglio tutto gratis!!!",3,1,4,-8
Edoardo,Romano,edoardoromano@yahoo.com,+393037301258,42,24,Si,,Voglio specializzarmi,No,Ho un cellulare iphone e pure un tablet o un ipad,10 euro,3,1,4,-7
Luca,Bianchi,lucabianchi@outlook.com,+393030627284,26,21,No,,Voglio specializzarmi,No,Ho un cellulare iphone,10 euro,4,2,5,-10
Luca,Bianchi,lucabianchi@yahoo.com,+393114269636,58,28,Si,,Voglio specializzarmi,Si,Ho un cellulare android e pure un tablet o un ipad,10 euro,5,2,4,0
Sara,Esposito,saraesposito@gmail.com,+393859869917,60,21,No,,Voglio informazioni su chi è il match analyst e che lavoro fa,No,Ho un cellulare iphone,10 euro,3,3,4,-2
Valentina,Rossi,valentinarossi@gmail.com,+393387247442,24,28,Si,,Voglio certificarmi,Si,Ho un cellulare iphone e pure un tablet o un ipad,47 euro,3,1,5,-1
Sara,Santoro,sarasantoro@gmail.com,+393431688289,38,21,No,,Voglio specializzarmi,No,Ho un cellulare iphone,10 euro,2,2,4,-2
Martina,Bruno,martinabruno@gmail.com,+393955181279,52,20,No,,Voglio certificarmi,Si,Ho un cellulare android e pure un tablet o un ipad,10 euro,5,2,5,-9
Luca,Romano,lucaromano@gmail.com,+393306389382,30,13,Si,,Voglio specializzarmi,No,Ho un cellulare android,"Non voglio spendere soldi, voglio tutto gratis!!!",4,1,5,-8
Matteo,Esposito,matteoesposito@outlook.com,+393062483641,22,8,No,,Voglio informazioni su chi è il match analyst e che lavoro fa,No,Ho un cellulare android,"Non voglio spendere soldi, voglio tutto gratis!!!",2,2,5,-2
Andrea,Colombo,andreacolombo@yahoo.com,+393565604488,51,23,No,,Voglio specializzarmi,No,Ho un cellulare iphone,10 euro,3,2,4,0
Edoardo,Ferrari,edoardoferrari@gmail.com,+393876201693,24,23,Si,,Voglio certificarmi,Si,Ho un cellulare android,10 euro,3,2,5,-5
Andrea,Colombo,andreacolombo@outlook.com,+393564944978,22,18,No,,Voglio informazioni su chi è il match analyst e che lavoro fa,Si,Ho un cellulare iphone,47 euro,3,3,4,-2
Alessandro,Verdi,alessandroverdi@outlook.com,+393447491273,24,26,Si,,Voglio informazioni su chi è il match analyst e che lavoro fa,No,Ho un cellulare iphone e pure un tablet o un ipad,97 euro,2,3,5,-10
Luca,Romano,lucaromano@outlook.com,+393325015196,53,10,No,,Voglio specializzarmi,No,Ho un cellulare iphone,"Non voglio spendere soldi, voglio tutto gratis!!!",2,3,4,-4
Sara,Verdi,saraverdi@outlook.com,+393784552152,28,8,No,,Voglio informazioni su chi è il match analyst e che lavoro fa,Si,Ho un cellulare android e pure un tablet o un ipad,"Non voglio spendere soldi, voglio tutto gratis!!!",2,3,5,-4
Matteo,Colombo,matteocolombo@yahoo.com,+393407859419,25,21,No,,Voglio certificarmi,Si,Ho un cellulare android,47 euro,3,2,5,-5
Sara,Ferrari,saraferrari@gmail.com,+393885347349,21,22,Si,,Voglio informazioni su chi è il match analyst e che lavoro fa,Si,Ho un cellulare android,10 euro,3,3,5,2
Valentina,Santoro,valentinasantoro@gmail.com,+393739067906,34,11,Si,,Voglio informazioni su chi è il match analyst e che lavoro fa,No,Ho un cellulare android e pure un tablet o un ipad,"Non voglio spendere soldi, voglio tutto gratis!!!",5,1,5,2
